Index,Hour,Raw_ADC,Moisture_Percent
0,0,1,100.0%
1,0,1,100.0%
2,0,0,100.0%
3,0,0,100.0%
4,1,0,100.0%
5,110,0,100.0%
6,0,0,100.0%
7,0,0,100.0%
8,120,128,100.0%
9,0,0,100.0%
10,0,0,100.0%
11,1,508,100.0%
12,110,0,100.0%
13,0,0,100.0%
14,0,0,100.0%
15,120,144,100.0%
16,0,0,100.0%
17,0,0,100.0%
18,43,0,100.0%
19,44,0,100.0%
20,45,0,100.0%
21,46,0,100.0%
22,47,0,100.0%
23,48,0,100.0%
24,49,0,100.0%
25,50,0,100.0%
26,51,0,100.0%
27,52,0,100.0%
28,53,0,100.0%
29,54,0,100.0%
30,55,0,100.0%
31,56,0,100.0%
32,57,0,100.0%
33,58,0,100.0%
34,59,0,100.0%
35,60,0,100.0%
36,61,0,100.0%
37,62,0,100.0%
38,63,0,100.0%
39,64,0,100.0%
40,65,0,100.0%
41,66,0,100.0%
42,67,0,100.0%
43,68,0,100.0%
44,69,0,100.0%
45,70,0,100.0%
46,71,0,100.0%
47,72,0,100.0%
48,73,0,100.0%
49,74,0,100.0%
50,75,0,100.0%
51,76,0,100.0%
52,77,0,100.0%
53,78,0,100.0%
54,79,0,100.0%
55,80,0,100.0%
56,81,0,100.0%
57,82,0,100.0%
58,83,0,100.0%
59,110,0,100.0%
60,0,0,100.0%
61,0,0,100.0%
62,120,288,100.0%
63,0,0,100.0%
64,0,0,100.0%
65,32769,120,100.0%
66,0,0,100.0%
67,0,0,100.0%
68,110,0,100.0%
69,0,0,100.0%
70,0,0,100.0%
71,120,432,100.0%
72,0,0,100.0%
73,0,0,100.0%
74,32769,120,100.0%
75,0,0,100.0%
76,0,0,100.0%
77,120,560,100.0%
78,0,0,100.0%
79,0,0,100.0%
80,32769,120,100.0%
81,0,0,100.0%
82,0,0,100.0%
83,0,0,100.0%
84,1,0,100.0%
85,0,1,100.0%
86,0,0,100.0%
87,120,576,100.0%
88,0,0,100.0%
89,0,0,100.0%
90,32769,120,100.0%
91,0,0,100.0%
92,0,0,100.0%
93,110,0,100.0%
94,0,0,100.0%
95,0,0,100.0%
96,120,720,100.0%
97,0,0,100.0%
98,0,0,100.0%
99,110,0,100.0%
100,0,0,100.0%
101,0,0,100.0%
102,120,864,100.0%
103,0,0,100.0%
104,0,0,100.0%
105,32769,120,100.0%
106,0,0,100.0%
107,0,0,100.0%
108,110,0,100.0%
109,0,0,100.0%
110,0,0,100.0%
111,32769,120,100.0%
112,0,0,100.0%
113,0,0,100.0%
114,110,0,100.0%
115,0,0,100.0%
116,0,0,100.0%
117,120,1136,95.61%
118,0,0,100.0%
119,0,0,100.0%
120,0,1024,99.22%
121,32769,120,100.0%
122,0,0,100.0%
123,0,0,100.0%
124,110,0,100.0%
125,0,0,100.0%
126,0,0,100.0%
127,0,0,100.0%
128,0,1,100.0%
129,0,0,100.0%
130,0,0,100.0%
131,0,211,100.0%
132,0,212,100.0%
133,0,213,100.0%
134,0,214,100.0%
135,0,215,100.0%
136,0,216,100.0%
137,0,217,100.0%
138,0,218,100.0%
139,0,219,100.0%
140,0,220,100.0%
141,0,221,100.0%
142,0,222,100.0%
143,0,223,100.0%
144,0,224,100.0%
145,0,225,100.0%
146,0,226,100.0%
147,0,227,100.0%
148,0,228,100.0%
149,0,229,100.0%
150,0,230,100.0%
151,0,231,100.0%
152,0,232,100.0%
153,0,233,100.0%
154,0,234,100.0%
155,0,235,100.0%
156,0,236,100.0%
157,0,237,100.0%
158,0,238,100.0%
159,0,239,100.0%
160,0,240,100.0%
161,0,241,100.0%
162,0,242,100.0%
163,0,243,100.0%
164,0,244,100.0%
165,0,245,100.0%
166,0,246,100.0%
167,0,247,100.0%
168,0,248,100.0%
169,0,249,100.0%
170,0,250,100.0%
171,0,251,100.0%
172,110,0,100.0%
173,0,0,100.0%
174,0,0,100.0%
175,120,1296,90.44%
176,0,0,100.0%
177,0,0,100.0%
178,32769,120,100.0%
179,0,0,100.0%
180,0,0,100.0%
181,110,0,100.0%
182,0,0,100.0%
183,0,0,100.0%
184,120,1440,85.78%
185,0,0,100.0%
186,0,0,100.0%
187,32769,120,100.0%
188,0,0,100.0%
189,0,0,100.0%
190,0,1,100.0%
191,120,1568,81.65%
192,0,0,100.0%
193,0,0,100.0%
194,32769,120,100.0%
195,0,0,100.0%
196,0,0,100.0%
197,110,0,100.0%
198,0,0,100.0%
199,0,0,100.0%
200,120,1712,77.0%
201,0,0,100.0%
202,0,0,100.0%
203,32769,120,100.0%
204,0,0,100.0%
205,0,0,100.0%
206,110,0,100.0%
207,0,0,100.0%
208,0,0,100.0%
209,0,0,100.0%
210,0,0,100.0%
211,0,0,100.0%
212,110,0,100.0%
213,0,0,100.0%
214,0,0,100.0%
215,120,1872,71.83%
216,0,0,100.0%
217,0,0,100.0%
218,32769,120,100.0%
219,0,0,100.0%
220,0,0,100.0%
221,110,0,100.0%
222,0,0,100.0%
223,0,0,100.0%
224,32769,120,100.0%
225,0,0,100.0%
226,0,0,100.0%
227,110,0,100.0%
228,0,0,100.0%
229,0,0,100.0%
230,120,2144,63.04%
231,0,0,100.0%
232,0,0,100.0%
233,32769,120,100.0%
234,0,0,100.0%
235,0,0,100.0%
236,110,0,100.0%
237,0,0,100.0%
238,0,0,100.0%
239,252,378,100.0%
240,0,379,100.0%
241,0,380,100.0%
242,0,381,100.0%
243,0,382,100.0%
244,0,383,100.0%
245,0,384,100.0%
246,0,385,100.0%
247,0,386,100.0%
248,0,387,100.0%
249,0,388,100.0%
250,0,389,100.0%
251,0,390,100.0%
252,0,391,100.0%
253,0,392,100.0%
254,0,393,100.0%
255,0,394,100.0%
256,0,395,100.0%
257,0,396,100.0%
258,0,397,100.0%
259,0,398,100.0%
260,0,399,100.0%
261,0,400,100.0%
262,0,401,100.0%
263,0,402,100.0%
264,0,403,100.0%
265,0,404,100.0%
266,0,405,100.0%
267,0,406,100.0%
268,0,407,100.0%
269,0,408,100.0%
270,0,409,100.0%
271,0,410,100.0%
272,0,411,100.0%
273,0,412,100.0%
274,0,413,100.0%
275,0,414,100.0%
276,0,415,100.0%
277,0,416,100.0%
278,0,417,100.0%
279,0,418,100.0%
280,0,419,100.0%
281,32769,120,100.0%
282,0,0,100.0%
283,0,0,100.0%
284,110,0,100.0%
285,0,0,100.0%
286,0,0,100.0%
287,120,2304,57.87%
288,0,0,100.0%
289,0,0,100.0%
290,32769,120,100.0%
291,0,0,100.0%
292,0,0,100.0%
293,0,0,100.0%
294,0,1,100.0%
295,0,0,100.0%
296,120,2448,53.21%
297,0,0,100.0%
298,0,0,100.0%
299,32769,120,100.0%
300,0,0,100.0%
301,0,0,100.0%
302,120,2576,49.08%
303,0,0,100.0%
304,0,0,100.0%
305,32769,120,100.0%
306,0,0,100.0%
