Index,Hour,Raw_ADC,Moisture_Percent
307,0,0,100.0%
308,110,0,100.0%
309,0,0,100.0%
310,0,0,100.0%
311,120,2720,44.43%
312,0,0,100.0%
313,0,0,100.0%
314,32769,120,100.0%
315,0,0,100.0%
316,0,0,100.0%
317,110,0,100.0%
318,0,0,100.0%
319,0,0,100.0%
320,508,0,100.0%
321,462,0,100.0%
322,463,0,100.0%
323,464,0,100.0%
324,465,0,100.0%
325,466,0,100.0%
326,467,0,100.0%
327,468,0,100.0%
328,469,0,100.0%
329,470,0,100.0%
330,471,0,100.0%
331,472,0,100.0%
332,473,0,100.0%
333,474,0,100.0%
334,475,0,100.0%
335,476,0,100.0%
336,477,0,100.0%
337,478,0,100.0%
338,479,0,100.0%
339,480,0,100.0%
340,481,0,100.0%
341,482,0,100.0%
342,483,0,100.0%
343,484,0,100.0%
344,485,0,100.0%
345,486,0,100.0%
346,487,0,100.0%
347,488,0,100.0%
348,489,0,100.0%
349,490,0,100.0%
350,491,0,100.0%
351,492,0,100.0%
352,493,0,100.0%
353,494,0,100.0%
354,495,0,100.0%
355,496,0,100.0%
356,497,0,100.0%
357,498,0,100.0%
358,499,0,100.0%
359,500,0,100.0%
360,501,0,100.0%
361,502,0,100.0%
362,32769,120,100.0%
363,0,0,100.0%
364,0,0,100.0%
365,110,0,100.0%
366,0,0,100.0%
367,0,0,100.0%
368,120,2880,39.26%
369,0,0,100.0%
370,0,0,100.0%
371,32769,120,100.0%
372,0,0,100.0%
373,0,0,100.0%
374,0,2,100.0%
375,0,0,100.0%
376,0,0,100.0%
377,32769,120,100.0%
378,0,0,100.0%
379,0,0,100.0%
380,110,0,100.0%
381,0,0,100.0%
382,0,0,100.0%
383,120,3152,30.47%
384,0,0,100.0%
385,0,0,100.0%
386,32769,120,100.0%
387,0,0,100.0%
388,0,0,100.0%
389,110,0,100.0%
390,0,0,100.0%
391,0,0,100.0%
392,32769,120,100.0%
393,0,0,100.0%
394,0,0,100.0%
395,110,0,100.0%
396,0,0,100.0%
397,0,0,100.0%
